ID,Kasutusotstarve,Kasutusotstarve_ID,Maakond,KOV,KOV_voi_LinnaOsa,Esmane_Kasutuselevotu_Aasta,Ajastu,Aeg,Hooneosade_Arv,Hooneosade_Arv_Normaliseeritud,Ruumide_Arv,Rummide_arv_vannitoata,Maksimaalne_Korruste_Arv,Liftid,Trepikodade_Arv,MaaAluste_Korruste_Arv,Korgus,Korgus_Umardatud,Laius,Pikkus,EhitusAlune_Pindala,Suletud_Netopindala,Building_Common_Area,Heated_Area,Välisseina_liik,Valisnurkade Arva,Sisenurkade Arv,Mitu otsaseina soojustatud?,Kande- ja jäigastavate konstruktsioonide materjal,Välisseina liik,Välisseina välisviimistluse materjal,Katusekatte materjal,Soojusvarustuse liik,Lamekatus_0/1,kahepoolne_kaldkatus_0/1,ühepoole_kaldkatus_0/1,Lodzad_0/1,Rõdud_0/1,Otstes aknad_0/1,Energy_Certificate_Class,Asein_märgis,Aaken_märgis,Aken/sein,Heated/6.25,A märgis/A arv(köetavast pinnast),Akende pindala vastavalt tubade arvule,A märgis/A arv(ktubade arv),kütte kommentaar
125,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Põhja-Tallinna linnaosa,1957,1951-1960,1950-1980,8,10,34,26,2,0,1,0,11,11,12,18,253,432.7,29.7,432.7,puit,4,0,0,puit,puit,krohv,eterniit,kohtküte,0,1,0,0,0,1,D,308.5,45.2,0.128,69.23,1.531681416,59.02,1.305752212,pole
41,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Kesklinna linnaosa,1914,1981-1990,<1950,4,0,20,16,2,0,2,1,8.0,8.0,13.2,12.9,188,405.3,0,393.2,puit,5,1,0,puit,pole,pole,pole,kohtküte,0,0,0,0,0,1,H,352.2,54.8,0.135,62.91,1.148029197,36.32,0.662773723,gaas kondensatsioonikatel
40,Muu kolme või enama korteriga elamu,11222,Võru maakond, Võru linn, Võru linn,1954,1951-1960,1950-1980,8,10,34,26,2,0,1,0,10.8,11,13.8,18.1,282,400.4,23.6,376.8,puit,4,0,0,puit,vahetäitega sõrestik,krohv,plekk,lokaalküte,0,1,0,0,0,1,C,249.1,53.4,0.177,60.29,1.128988764,59.02,1.105243446,pole
174,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Põhja-Tallinna linnaosa,1943,1941-1950,<1950,8,10,36,28,2,0,1,1,10.5,10.5,11.3,24.3,255,596.3,205.6,390.7,puit,4,0,0,puit,pole,pole,bituumen või  PVC  plaat või rullmaterjal,kohtküte,0,1,0,0,0,1,E,297.2,61.8,0.172,62.51,1.011521036,63.56,1.028478964,pole
130,Muu kolme või enama korteriga elamu,11222,Valga maakond, Otepää vald, Otepää linn,1954,1951-1960,1950-1980,4,0,14,10,2,0,1,0,7.1,7,10.1,13,135,181.1,38.8,167.2,puit,6,2,0,puit,palk,puit (vooder),plekk,kohtküte,0,1,0,0,0,1,D,163.4,27.7,0.145,26.75,0.965776173,22.7,0.819494585,pole
243,Muu kolme või enama korteriga elamu,11222,Tartu maakond, Tartu linn, Tartu linn,1939,1931-1940,<1950,6,10,40,34,3,0,1,1,11,11,17,23.2,334,1024.3,345.7,776.7,puit,6,2,0,puit,palk-laudis,krohv,plekk,lokaalküte-kohtküte,0,1,0,0,1,1,C,579,129.9,0.183,124.27,0.956674365,77.18,0.594149346,pole
290,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Kesklinna linnaosa,1912,1911-1920,<1950,5,10,29,24,2,0,2,1,12.4,12.5,11.4,23.2,247,626.1,111.7,586,puit,4,0,0,puit,puit,puit,plekk,kohtküte,0,1,0,0,0,1,E,463.7,99.4,0.177,93.76,0.943259557,54.48,0.548088531,pole
221,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Kesklinna linnaosa,1949,1941-1950,<1950,5,10,20,15,3,0,1,1,10.7,10.5,10.9,16.9,153,379.5,114.6,379.5,puit,6,2,0,puit,laudis,puit (vooder),plekk,lokaalküte,0,1,0,0,0,1,B,366.9,64.8,0.150,60.72,0.937037037,34.05,0.525462963,pole
185,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Kesklinna linnaosa,1927,1921-1930,<1950,12,10,55,43,3,0,2,1,12.4,12.5,13,25.2,331,985.3,298.8,755.2,puit,4,0,0,puit,puit. palk,krohv,plekk,kohtküte. lokaalküte,0,1,0,0,0,1,C,461,132,0.223,120.83,0.915393939,97.61,0.739469697,pole
354,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Nõmme linnaosa,1926,1921-1930,<1950,7,10,31,24,2,0,2,1,8.4,8.5,9.1,24.1,207,323.2,60.8,262.4,puit,13,11,0,muu. puit,muu. vahetäitega sõrestik. palk,keraamiline tellis. puit (vooder),muu. plekk,kohtküte. lokaalküte,0,1,0,0,0,1,G,219.5,46.2,0.174,41.98,0.908744589,54.48,1.179220779,pole
10,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1967,1961-1970,1950-1980,90,90,400,310,5,0,6,1,15.4,15.5,0,0,1086,5669,1317.2,4642,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,D,2780,764,0.216,742.72,0.972146597,703.7,0.921073298,pole
14,Muu kolme või enama korteriga elamu,11222,Harju maakond, Keila linn, Keila linn,1988,1981-1990,>1980,60,60,240,180,5,0,4,1,16.2,16,13.3,62,868,3956,910.8,3045.2,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,fassaadiplaat (seal hulgas tsementkiudplaat),bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,C,1541,522.2,0.253,487.23,0.933037151,408.6,0.782458828,pole
19,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Haabersti linnaosa,1975,1971-1980,1950-1980,30,30,120,90,5,0,2,1,15.6,15.5,12.8,31.1,382,1969,453.5,1661,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal. muu,kaugküte,1,0,0,1,1,0,C,828,230,0.217,265.76,1.155478261,204.3,0.88826087,pole
50,Muu kolme või enama korteriga elamu,11222,Lääne-Viru maakond, Rakvere linn, Rakvere linn,1973,1971-1980,1950-1980,60,60,240,180,5,0,4,1,15.8,16,12.1,57.4,707.2,3341.7,635.6,2974,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv. muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,B,3638,768.7,0.174,475.84,0.619019123,408.6,0.531546767,pole
54,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1968,1961-1970,1950-1980,89,90,396,307,5,0,6,1,14.8,15,12.2,92.1,1153.3,5690.6,1286.1,4666.6,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,C,1966.4,699.2,0.262,746.66,1.067871854,696.89,0.996696224,pole
56,Muu kolme või enama korteriga elamu,11222,Tartu maakond, Elva vald, Elva linn,1987,1981-1990,>1980,46,50,216,170,5,0,8,1,16.1,16,50,122,1837,7962.6,2131.5,5830.7,suurpaneel,6,2,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,D,4311.6,1071.9,0.199,932.91,0.870334919,385.9,0.360014927,pole
62,Muu kolme või enama korteriga elamu,11222,Harju maakond, Harku vald, Tabasalu alevik,1974,1971-1980,1950-1980,60,60,240,180,5,0,4,1,15.8,16,13.2,62.6,846,3934.3,899,3278,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,1,0,D,1873.1,623.1,0.250,524.48,0.84172685,408.6,0.655753491,pole
85,Muu kolme või enama korteriga elamu,11222,Harju maakond, Jõelähtme vald, Kostivere alevik,1977,1971-1980,1950-1980,60,60,240,180,5,0,4,1,15.7,15.5,0,0,761,3944.6,903.8,3320,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,1,0,D,1450,491,0.253,531.20,1.081873727,408.6,0.832179226,pole
91,Muu kolme või enama korteriga elamu,11222,Valga maakond, Tõrva vald, Tõrva linn,1972,1971-1980,1950-1980,32,30,156,124,4,0,4,1,12,12,0,0,781,2955.7,823.2,2405,suurplokk,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,B,1418,339.4,0.193,384.80,1.133765468,281.48,0.829345905,pole
92,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1972,1971-1980,1950-1980,72,70,323,251,9,2,2,1,26,26,0,0,593,5026.8,1092.8,4364,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,1,1,C,2141,753.2,0.260,698.24,0.927031333,569.77,0.756465746,pole
96,Muu kolme või enama korteriga elamu,11222,Rapla maakond, Rapla vald, Rapla linn,1982,1981-1990,>1980,45,50,180,135,5,0,3,1,14.3,14.5,14,46.9,586,2819.9,533.4,2485.5,suurpaneel,10,6,0,monoliitne raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,D,1366.7,394.6,0.224,397.68,1.007805373,306.45,0.776609225,pole
