ID;Kasutusotstarve;Kasutusotstarve_ID;Maakond;KOV;KOV_voi_LinnaOsa;Esmane_Kasutuselevotu_Aasta;Ajastu;;Hooneosade_Arv;Hooneosade_Arv_Normaliseeritud;Ruumide_Arv;Rummide_arv_vannitoata;Maksimaalne_Korruste_Arv
125;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1957;1951-1960;1950-1980;8;10;34;26;2
TP41;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kesklinna linnaosa;1914;1981-1990;<1950;4;0;20;16;2
40;Muu kolme või enama korteriga elamu;11222;Võru maakond; Võru linn; Võru linn;1954;1951-1960;1950-1980;8;10;34;26;2
174;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1943;1941-1950;<1950;8;10;36;28;2
130;Muu kolme või enama korteriga elamu;11222;Valga maakond; Otepää vald; Otepää linn;1954;1951-1960;1950-1980;4;0;14;10;2
243;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1939;1931-1940;<1950;6;10;40;34;3
290;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kesklinna linnaosa;1912;1911-1920;<1950;5;10;29;24;2
221;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kesklinna linnaosa;1949;1941-1950;<1950;5;10;20;15;3
185;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kesklinna linnaosa;1927;1921-1930;<1950;12;10;55;43;3
354;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1926;1921-1930;<1950;7;10;31;24;2
10;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1967;1961-1970;1950-1980;90;90;400;310;5
14;Muu kolme või enama korteriga elamu;11222;Harju maakond; Keila linn; Keila linn;1988;1981-1990;>1980;60;60;240;180;5
19;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Haabersti linnaosa;1975;1971-1980;1950-1980;30;30;120;90;5
50;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1973;1971-1980;1950-1980;60;60;240;180;5
54;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1968;1961-1970;1950-1980;89;90;396;307;5
56;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Elva vald; Elva linn;1987;1981-1990;>1980;46;50;216;170;5
62;Muu kolme või enama korteriga elamu;11222;Harju maakond; Harku vald; Tabasalu alevik;1974;1971-1980;1950-1980;60;60;240;180;5
85;Muu kolme või enama korteriga elamu;11222;Harju maakond; Jõelähtme vald; Kostivere alevik;1977;1971-1980;1950-1980;60;60;240;180;5
91;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Tõrva linn;1972;1971-1980;1950-1980;32;30;156;124;4
92;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1972;1971-1980;1950-1980;72;70;323;251;9
96;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Rapla vald; Rapla linn;1982;1981-1990;>1980;45;50;180;135;5
